Quantity,Vendor,Vendor p/n,Manuf p/n,Designator,Value,Manufacturer,COST,Footprint
58,Bisco Ind.,1249,1249,"TP1A, TP1B, TP1C, TP1D, TP2A, TP2B, TP2C, TP2D, TP3A, TP3B, TP3C, TP3D, TP4A, TP4B, TP4C, TP4D, TP5A, TP5B, TP5C, TP5D, TP6A, TP6B, TP6C, TP6D, TP7A, TP7B, TP7C, TP7D, TP8, TP9A, TP9B, TP9C, TP9D, TP10A, TP10B, TP10C, TP10D, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31",Test point,Keystone,0.18,PAD_80D_052H
1,DigiKey,732-1623-1-ND,74279218,L5,,Wurth,0.28,SMD_1206
8,DigiKey,478-1318-1-ND,08055A151JAT2A,"C1A, C1B, C1C, C1D, C8A, C8B, C8C, C8D",150pF,AVX,0.11,SMD_0805
62,DigiKey,478-1395-1-ND,08055C104KAT2A,"C2, C3A, C3B, C3C, C3D, C4A, C4B, C4C, C4D, C5A, C5B, C5C, C5D, C9A, C9B, C9C, C9D, C11A, C11B, C11C, C11D, C12A, C12B, C12C, C12D, C13A, C13B, C13C, C13D, C14A, C14B, C14C, C14D, C18A, C18B, C18C, C18D, C20A, C20B, C20C, C20D, C22A, C22B, C22C, C22D, C23A, C23B, C23C, C23D, C25A, C25B, C25C, C25D, C28A, C28B, C28C, C28D, C29A, C29B, C29C, C29D, C33",0.1uF,AVX,0.088,SMD_0805
4,DigiKey,445-2707-1-ND,C4532C0G1H104J,"C6A, C6B, C6C, C6D",0.1uF,TDK,4.12,1812
15,DigiKey,490-4736-1-ND,GRM21BR71H105KA12L,"C7, C17A, C17B, C17C, C17D, C24A, C24B, C24C, C24D, C46A, C46B, C46C, C46D, C60, C61",1uF,MURATA,0.48,"SMD_0805, SMD_CAP_3216"
5,DigiKey,493-2325-1-ND,F911V685MCC,"C10A, C10B, C10C, C10D, C59",6.8uF,Nichicon,1.55,SMD_CAP_6032
32,DigiKey,399-3824-1-ND,T494A106M016AT,"C15A, C15B, C15C, C15D, C16A, C16B, C16C, C16D, C21A, C21B, C21C, C21D, C30A, C30B, C30C, C30D, C31A, C31B, C31C, C31D, C32, C44, C45, C48A, C48B, C48C, C48D, C53, C54, C55, C57, C58",10uF,KEMET,0.78,SMD_CAP_3216
8,DigiKey,490-1642-1-ND,GRM2195C1H103JA01D,"C19A, C19B, C19C, C19D, C26A, C26B, C26C, C26D",0.01uF,MURATA,0.45,SMD_0805
1,DigiKey,478-1328-1-ND,08055A102JAT2A,C27,1000p,AVX,0.13,SMD_0805
15,DigiKey,478-1395-1-ND,08055C104KAT2A,"C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C47, C50, C51, C52, C56",0.1u,AVX,0.088,SMD_0805
4,DigiKey,478-1321-1-ND,08055A271JAT2A,"C49A, C49B, C49C, C49D",270pF,AVX,0.22,SMD_0805
6,DIGIKEY,P11500CT-ND,LNJ306G5UUX,"D1, D2, D3, D4, D5, D6",LED SMD,PANASONIC SSG,0.33,SMD_0805_LED
16,DigiKey,490-2505-1-ND,LQH32MN100J23L,"L1A, L1B, L1C, L1D, L2A, L2B, L2C, L2D, L3A, L3B, L3C, L3D, L4A, L4B, L4C, L4D",10uH,MURATA,0.39,SMD_1210_INDUCT
1,DIGIKEY,FDV304PCT-ND,FDV304P,Q1,FDV304P,FAIRCHILD,0.46,SMD_SOT23_3
8,DigiKey,541-200CCT-ND,CRCW0805200RFNEA,"R3A, R3B, R3C, R3D, R4A, R4B, R4C, R4D",200R,Vishay,0.09,SMD_0805
4,DigiKey,541-499KCCT-ND,CRCW0805499KFNEA,"R6A, R6B, R6C, R6D",499K,Vishay,0.09,SMD_0805
4,DigiKey,541-39.2KCCT-ND,CRCW080539K2FNEA,"R7A, R7B, R7C, R7D",39K2,Vishay,0.09,SMD_0805
4,DigiKey,541-49.9KCCT-ND,CRCW080549K9FNEA,"R9A, R9B, R9C, R9D",49K9,Vishay,0.09,SMD_0805
4,DigiKey,541-100KCCT-ND,CRCW0805100KFNEA,"R10A, R10B, R10C, R10D",100K,Vishay,0.09,SMD_0805
4,DigiKey,541-20.0KCCT-ND,CRCW080520K0FNEA,"R11A, R11B, R11C, R11D",20K,Vishay,0.09,SMD_0805
4,DigiKey,541-3.32KCCT-ND,CRCW08053K32FNEA,"R12A, R12B, R12C, R12D",3K32,Vishay,0.09,SMD_0805
4,DigiKey,541-10.0KCCT-ND,CRCW080510K0FNEA,"R13A, R13B, R13C, R13D",10K,Vishay,0.09,SMD_0805
4,DigiKey,541-26.7KCCT-ND,CRCW080526K7FNEA,"R14A, R14B, R14C, R14D",26K7,Vishay,0.09,SMD_0805
13,DigiKey,541-1.00KCCT-ND,CRCW08051K00FNEA,"R15A, R15B, R15C, R15D, R17A, R17B, R17C, R17D, R20A, R20B, R20C, R20D, R25",1K,Vishay,0.09,SMD_0805
4,DigiKey,541-100CCT-ND,CRCW0805100R0FNEA,"R16A, R16B, R16C, R16D",100R,Vishay,0.09,SMD_0805
8,DigiKey,541-249CCT-ND,CRCW0805249RFNEA,"R18A, R18B, R18C, R18D, R19A, R19B, R19C, R19D",249R,Vishay,0.09,SMD_0805
1,DigiKey,541-100CCT-ND,CRCW0805100RFNEA,R21,100R,Vishay,0.09,SMD_0805
1,DigiKey,541-2.61KCCT-ND,CRCW08052K61FNEA,R22,2K61,Vishay,0.09,SMD_0805
1,DigiKey,541-1.00KCCT-ND,CRCW08051K00FKEA,R23,1K,Vishay,0.09,SMD_0805
2,DigiKey,541-301CCT-ND,CRCW0805301RFNEA,"R24, R26",301R,Vishay,0.09,SMD_0805
1,DigiKey,541-150CCT-ND,CRCW0805150RFNEA,R27,150R,Vishay,0.09,SMD_0805
1,DIGIKEY,Y9103CT-ND,EXB-38V103JV,RN1,10K,PANASONIC - ECG,0.03,RES ARRAY 0603 x 4
1,DIGIKEY,CT2198MST-ND,219-8MST,SW1,SW-SPST-8POS,CTS,0.95,SMD_DIP GULL WING 16PIN
12,DigiKey,296-10030-1-ND,THS4031IDGNR,"U1A, U1B, U1C, U1D, U4A, U4B, U4C, U4D, U5A, U5B, U5C, U5D",THS4031,TEXAS INST,4.39,MSOP with PowerPAD
4,DIGIKEY,DG213DY-T1-E3CT-ND,DG213DY-T1-E3,"U3A, U3B, U3C, U3D",DG213A,VISHAY,2.73,SOIC16
1,DIGIKEY,MAX6341CSA+-ND,MAX6341CSA+,U8,MAX6341,MAXIM,17.76,NSO8_M
1,DIGIKEY,FIN1002M5XCT-ND,FIN1002M5X,U10,FIN1002M5X,FAIRCHILD,0.84,SOT-23 5
8,DIGIKEY,SSM2210SZ-ND,SSM2210SZ,"U11A, U11B, U11C, U11D, U13A, U13B, U13C, U13D",SSM2210,ANALOG DEVICES,5.4,SO-8_M
4,DIGIKEY,BAS70DW-04-FDICT-ND,BAS70DW-04-7-F,"U12A, U12B, U12C, U12D",Diode array,DIODES INC,0.67,SOT-363
1,DIGIKEY,544-1300-ND,EPM570T144C3,U14,EPM570T144C3,ALTERA,39.71,TQFP144_L
1,DIGIKEY,DS2411R+CT-ND,DS2411R+T&R,U15,DS2411,MAXIM,1.25,SMD_SOT23_3
4,INTERFET,IFN860,IFN860,"Q10A, Q10B, Q10C, Q10D",IFN860,INTERFET,12.18,TO-71
1,MAXIM DIRECT,MAX1258BETM+,MAX1258BETM+,U9,MAX1258,MAXIM,23.45,QFN48_M
4,Mouser,595-ADS8422IBPFBT,ADS8422IBPFBT,"U6A, U6B, U6C, U6D",ADS8422,TEXAS INST,49.42,TQFP48_m
4,Mouser,595-THS4151CD,THS4151CD,"U7A, U7B, U7C, U7D",THS4151,TEXAS INST,10.3,182H_M
4,Newark,49K9688,DG642DY-E3,"U2A, U2B, U2C, U2D",DG642,VISHAY,2,182H_M
1,SAMETC,QMSS-078-01-L-D-EM2-PC4,QMSS-078-01-L-D-EM2-PC4,J5,QMSS-EM-PC4,SAMTEC,20,QMS EDGE PWR PINS

3,,,,"P1, P2, P3",,,,"HDR1X2, HDR2X5, HDR2X10"
4,,,300144  Series 1K500/3K480,"R1A, R1B, R1C, R1D",1K500,Vishay,24.12,Vishay 3 pin
4,,,300144 Series 200R0/2K460,"R2A, R2B, R2C, R2D",200R,Vishay,24.12,vishay 3 pin
4,,,300144 Series  500R0/500R0,"R5A, R5B, R5C, R5D",500R0,Vishay,24.12,Vishay 3 pin
4,,,300145 Series,"R8A, R8B, R8C, R8D",500R0,Vishay,42.47,VISHAY 6 pin
